Rank,Title,Year,Rating,Runtime
1,The Shawshank Redemption,1994,9.3,142
2,The Godfather,1972,9.2,175
3,The Dark Knight,2008,9,152
4,The Godfather Part II,1974,9,202
5,12 Angry Men,1957,9,96
6,Schindler's List,1993,9,195
7,The Lord of the Rings: The Return of the King,2003,8.9,201
8,Pulp Fiction,1994,8.9,154
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
10,The Good  the Bad and the Ugly,1966,8.8,178
11,Forrest Gump,1994,8.8,142
12,Fight Club,1999,8.8,139
13,Inception,2010,8.8,148
14,The Lord of the Rings: The Two Towers,2002,8.8,179
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124
16,The Matrix,1999,8.7,136
17,Goodfellas,1990,8.7,146
18,One Flew Over the Cuckoo's Nest,1975,8.7,133
19,Seven Samurai,1954,8.7,207
20,Se7en,1995,8.6,127
21,City of God,2002,8.6,130
22,Life Is Beautiful,1997,8.6,116
23,The Silence of the Lambs,1991,8.6,118
24,It's a Wonderful Life,1946,8.6,130
25,Star Wars: Episode IV - A New Hope,1977,8.6,121
26,Saving Private Ryan,1998,8.6,169
27,Spirited Away,2001,8.6,125
28,The Green Mile,1999,8.6,189
29,Parasite,2019,8.6,132
30,Interstellar,2014,8.6,169
31,Léon: The Professional,1994,8.5,110
32,The Lion King,1994,8.5,88
33,Gladiator,2000,8.5,155
34,American History X,1998,8.5,119
35,The Departed,2006,8.5,151
36,The Prestige,2006,8.5,130
37,Whiplash,2014,8.5,106
38,The Usual Suspects,1995,8.5,106
39,Grave of the Fireflies,1988,8.5,89
40,Casablanca,1942,8.5,102
41,Harakiri,1962,8.5,133
42,The Intouchables,2011,8.5,112
43,Modern Times,1936,8.5,87
44,Cinema Paradiso,1988,8.5,155
45,Once Upon a Time in the West,1968,8.5,165
46,Rear Window,1954,8.5,112
47,Alien,1979,8.5,117
48,City Lights,1931,8.5,87
49,Apocalypse Now,1979,8.5,147
50,Memento,2000,8.4,113
51,Django Unchained,2012,8.4,165
52,Raiders of the Lost Ark,1981,8.4,115
53,WALL·E,2008,8.4,98
54,The Lives of Others,2006,8.4,137
55,Sunset Blvd.,1950,8.4,110
56,Paths of Glory,1957,8.4,88
57,The Great Dictator,1940,8.4,125
58,The Shining,1980,8.4,146
59,Witness for the Prosecution,1957,8.4,116
60,Avengers: Infinity War,2018,8.4,149
61,The Dark Knight Rises,2012,8.4,164
62,Spider-Man: Into the Spider-Verse,2018,8.4,117
63,Joker,2019,8.4,122
64,Princess Mononoke,1997,8.4,134
65,Oldboy,2003,8.4,120
66,Your Name.,2016,8.4,106
67,Aliens,1986,8.4,137
68,Coco,2017,8.4,105
69,American Beauty,1999,8.4,122
70,Braveheart,1995,8.4,178
71,Das Boot,1981,8.4,149
72,3 Idiots,2009,8.4,170
73,High and Low,1963,8.4,143
74,Like Stars on Earth,2007,8.4,162
75,Toy Story,1995,8.3,81
76,Amadeus,1984,8.3,160
77,Inglourious Basterds,2009,8.3,153
78,Good Will Hunting,1997,8.3,126
79,Star Wars: Episode VI - Return of the Jedi,1983,8.3,131
80,Reservoir Dogs,1992,8.3,99
81,2001: A Space Odyssey,1968,8.3,149
82,Requiem for a Dream,2000,8.3,102
83,Vertigo,1958,8.3,128
84,Eternal Sunshine of the Spotless Mind,2004,8.3,108
85,The Hunt,2012,8.3,115
86,Citizen Kane,1941,8.3,119
87,Lawrence of Arabia,1962,8.3,228
88,M,1931,8.3,99
89,Full Metal Jacket,1987,8.3,116
90,North by Northwest,1959,8.3,136
91,A Clockwork Orange,1971,8.3,136
92,Singin' in the Rain,1952,8.3,103
93,Snatch,2000,8.3,103
94,Bicycle Thieves,1948,8.3,89
95,Scarface,1983,8.3,170
96,Taxi Driver,1976,8.3,114
97,1917,2019,8.3,119
98,Amelie,2001,8.3,122
99,Come and See,1985,8.3,142
100,The Kid,1921,8.3,68
101,Full Metal Jacket,1987,8.3,116
102,The Apartment,1960,8.3,125
103,Toy Story 3,2010,8.3,103
104,The Sting,1973,8.3,129
105,Metropolis,1927,8.3,153
106,Incendies,2010,8.3,131
107,For a Few Dollars More,1965,8.3,132
108,Indiana Jones and the Last Crusade,1989,8.2,127
109,L.A. Confidential,1997,8.2,138
110,Rashomon,1950,8.2,88
111,A Separation,2011,8.2,123
112,Batman Begins,2005,8.2,140
113,Double Indemnity,1944,8.2,107
114,To Kill a Mockingbird,1962,8.2,129
115,The Great Escape,1963,8.2,172
116,Up,2009,8.2,96
117,Heat,1995,8.2,170
118,Hamilton,2020,8.2,160
119,Downfall,2004,8.2,156
120,Ikiru,1952,8.2,143
121,Ran,1985,8.2,162
122,The Wolf of Wall Street,2013,8.2,180
123,Die Hard,1988,8.2,132
124,Casino,1995,8.2,178
125,Pan's Labyrinth,2006,8.2,118
126,Monty Python and the Holy Grail,1975,8.2,91
127,There Will Be Blood,2007,8.2,158
